aid,institution_id,from_institution_id,from_oid,from_name,from_ranking,from_latitude,from_longitude,aid,postype,job_inst,institution_id,to_institution_id,to_oid,startdate,to_rank,to_latitude,to_longitude
35927,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,35927,3,"University of Essex ",19284,366,428,2003-01-11,49,51.8777259,0.9472069
236,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,236,9,"University of Wisconsin-Madison",19047,73,85,2008-09-01,31,43.0765006,-89.4052976
614,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,614,7,"University of Pennsylvania",19104,137,157,2008-01-01,6,39.953339,-75.194527
731,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,731,1,"Duke University",19998,17,24,2008-01-01,15,36.0014258,-78.9382286
895,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,895,7,"University of Cambridge",19093,120,139,2011-09-01,42,52.2010116,0.1084907
920,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,920,1,"Boston University",19374,29,37,2008-09-01,30,42.3509108,-71.1054953
1073,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,1073,1,"Hong Kong University of Science & Technology",19812,68,1176,2004-08-01,66,22.3363998,114.2654655
1874,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,1874,1,"Yale University",19217,290,336,2009-09-01,11,41.3138919,-72.9240345
1886,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,1886,1,"Boston College",19240,312,362,2009-01-01,69,42.3362748,-71.168524
1976,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,1976,1,"Boston University",19374,29,37,2009-01-01,30,42.3509108,-71.1054953
2149,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2149,2,"Duke University",19998,17,24,2016-07-01,15,36.0014258,-78.9382286
2181,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2181,1,"USC Department of Economics",19231,125,354,2019-01-01,51,34.0223519,-118.285117
2310,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2310,1,"University of Toronto",19013,32,40,2009-07-01,19,43.6660209,-79.3998235
2354,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2354,1,"University of Southern California",19231,125,354,2016-01-01,51,34.0223519,-118.285117
2479,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2479,7,"Princeton University",19622,747,886,2009-01-01,13,40.3490675,-74.6555328
2506,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2506,7,"Georgetown University",19065,85,1419,2009-08-01,60,38.907565,-77.073308
2627,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2627,1,"Washington University",21857,644,760,2010-01-01,84,38.649651,-90.310615
2831,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,2831,1,"University of Chicago",21527,1044,1275,2005-01-01,2,41.7854555,-87.596997
3869,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,3869,6,"Cornell University",19384,361,603,2009-09-01,18,42.4473742,-76.4822234
4008,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,4008,1,"University of New South Wales",19059,93,107,2010-09-01,58,-33.9167956,151.2295532
4217,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,4217,2,"Stanford University",19051,78,92,2017-01-01,3,37.4284807,-122.1658358
4334,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,4334,9,"Columbia University",19007,22,29,2013-09-01,10,40.8077151,-73.9596015
4557,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,4557,1,"Boston University",19837,976,1194,2010-01-01,30,42.3495441,-71.0995129
4699,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,4699,6,"Harvard University",19275,350,406,2010-01-01,1,42.376417,-71.1182727
4761,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,4761,1,"Pennsylvania State University",19102,134,154,2010-01-01,79,40.797324,-77.868361
5479,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,5479,9,"University of Southern California",19231,125,354,2013-01-01,51,34.0223519,-118.285117
5499,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,5499,1,"University of Toronto",19013,32,40,2006-01-01,19,43.6660209,-79.3998235
7306,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,7306,1,"Cornell University",19384,361,603,2017-01-01,18,42.4473742,-76.4822234
7525,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,7525,1,"Washington University in Saint Louis",19046,72,84,2011-07-01,84,38.648238,-90.3048746
7689,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,7689,1," Cornell University",19330,440,508,2015-07-01,18,42.4496928,-76.47905
7704,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,7704,9,"NYU Stern School of Business",19620,742,881,2017-09-01,9,40.7290549,-73.9965233
7797,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,7797,1,"University of Michigan",19128,2,186,2008-01-01,14,42.2738566,-83.7375824
8025,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,8025,1,"University of Chicago ",19357,339,394,2011-01-01,2,41.7899222,-87.5973383
8537,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,8537,1,"New York University",19470,144,167,2012-01-01,9,40.7290047,-73.9951385
8791,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,8791,1,"Duke University",19998,17,24,2011-07-01,15,36.0014258,-78.9382286
8834,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,8834,1,"University of Maryland",18997,13,20,2011-01-01,24,38.9847953,-76.9440122
9217,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,9217,1,"Harvard University",19275,350,406,2003-07-01,1,42.376417,-71.1182727
9346,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,9346,1,"Duke University",19998,17,24,2003-01-01,15,36.0014258,-78.9382286
9426,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,9426,1,"London School of Economics",19277,351,407,2015-01-01,5,51.5136884,-0.1167007
10705,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,10705,1,"Boston University",19374,29,37,2012-01-01,30,42.3509108,-71.1054953
11036,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,11036,1,"Duke University  ",19998,17,24,2012-01-01,15,36.0014258,-78.9382286
11340,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,11340,2," University of Warwick",19097,124,143,2012-09-01,33,52.3810194,-1.5630489
11693,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,11693,1,"University of Vienna",19344,254,540,2012-01-01,76,48.2131855,16.3600504
12264,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,12264,2,"University of Oxford ",20578,874,1050,2019-01-01,8,51.7535674,-1.2684111
14690,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,14690,1,"University College London",19176,90,235,2013-09-01,16,51.526067,-0.133295
14957,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,14957,2,"University of Oxford",19150,186,217,2013-09-01,8,51.7574088,-1.2468664
15655,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,15655,1,UBC,19028,57,67,2013-07-01,47,49.271064,-123.250418
15983,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,15983,1,"University of Rochester",19134,161,189,2003-07-01,81,43.1305531,-77.6260033
16051,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,16051,1,"University of Copenhagen",19633,761,902,2013-01-01,53,55.6878461,12.5696519
16104,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,16104,1,"Université Toulouse 1 Capitole",19138,86,203,2013-01-01,21,43.6067724,1.4371122
16125,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,16125,1,"Yale University",19217,290,336,2015-01-01,11,41.3138919,-72.9240345
16135,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,16135,1,"Cornell University",19383,361,420,2013-01-01,18,42.4534492,-76.4735027
16297,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,16297,7,"Stern School of Business",19620,742,881,2018-01-01,9,40.7290549,-73.9965233
16419,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,16419,2,"University of Essex ",19284,366,428,2013-01-01,49,51.8777259,0.9472069
18917,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,18917,7,"Princeton University ",19622,747,886,2014-09-01,13,40.3490675,-74.6555328
18957,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,18957,1,"National University of Singapore",19329,439,507,2015-01-01,27,1.2966426,103.7763939
19040,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,19040,1,"Stanford University",19051,78,92,2003-01-01,3,37.4284807,-122.1658358
20459,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,20459,1,"University of Chicago ",19357,339,394,2016-01-01,2,41.7899222,-87.5973383
20481,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,20481,1,"Simon Fraser University ",19213,286,332,2014-09-01,88,49.2800145,-122.9200592
20770,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,20770,1,"Cornell University",19384,361,603,2014-01-01,18,42.4473742,-76.4822234
20805,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,20805,6,"UC Berkeley",19220,296,343,2014-06-01,4,37.871558,-122.2537809
21500,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,21500,6,"university of cambridge",19093,120,139,2014-01-01,42,52.2010116,0.1084907
24155,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,24155,1,"University of Chicago",21527,1044,1275,2015-07-01,2,41.7854555,-87.596997
24363,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,24363,1,"Dartmouth College",19376,510,593,2003-01-01,83,43.7058278,-72.2899576
24804,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,24804,1,"university of chicago",19357,339,394,2016-07-01,2,41.7899222,-87.5973383
24979,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,24979,NULL,"new york university",19470,144,167,2016-07-01,9,40.7290047,-73.9951385
25000,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,25000,1,"northwestern university",19003,18,25,2016-07-01,12,42.0571538,-87.6716364
25036,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,25036,6,"Cornell University",19383,361,420,2015-01-01,18,42.4534492,-76.4735027
25326,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,25326,1,"university of chicago",19357,339,394,2016-07-01,2,41.7899222,-87.5973383
25373,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,25373,1,"michigan state university",19809,33,41,2016-07-01,73,42.7323099,-84.4790719
25867,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,25867,1,"cornell university",19384,361,603,2016-07-01,18,42.4473742,-76.4822234
26382,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,26382,1,"georgetown university",19062,85,99,2016-07-01,60,38.9089853,-77.0734746
28530,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,28530,1,"columbia university",19007,22,29,2017-07-01,10,40.8077151,-73.9596015
28589,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,28589,3,"Cornell University",19330,440,508,2016-07-01,18,42.4496928,-76.47905
