Subject,G1P1,G1P2,G1P3,G1P4,G2P1,G2P2,G2P3,G2P4
1,1,2,1,1,1,2,1,3
2,1,2,1,1,1,2,1,3
3,2,3,2,1,3,1,1,3
4,1,2,1,1,1,1,2,3
5,2,3,2,1,2,2,2,2
6,1,2,1,1,1,2,1,3
7,1,2,1,1,1,2,2,3
8,3,3,1,2,2,3,1,1
9,1,2,1,1,1,1,2,3
10,1,2,1,1,1,2,1,3
11,1,2,1,1,1,2,2,3
12,2,1,1,2,2,1,3,3
13,1,2,1,1,1,2,1,3
14,1,2,1,1,1,1,2,3
15,1,2,1,1,1,2,1,3
16,1,2,1,1,1,2,2,3
17,1,2,1,1,1,2,1,3
18,1,2,1,1,1,2,2,3
19,1,2,1,1,1,2,1,3
20,1,2,1,1,1,2,2,3
21,1,2,1,1,1,2,2,3
22,1,2,1,1,1,2,2,3
23,1,2,1,1,1,2,1,3
24,1,2,1,1,1,2,1,3
25,1,2,1,1,1,2,2,3
26,1,2,1,1,1,2,1,3
27,2,1,2,1,3,3,3,2
28,1,2,1,1,1,1,2,3
29,1,2,1,1,1,2,2,3
30,1,2,1,1,1,2,1,3
31,1,2,1,1,1,2,1,3
32,1,2,1,1,1,2,1,3
33,1,2,1,1,1,2,2,3
34,1,2,1,1,1,2,2,3
35,1,2,1,1,1,1,2,3
36,1,2,1,1,1,1,2,3
37,1,2,1,1,1,2,2,3
38,1,2,1,1,1,2,2,3
39,1,2,1,1,1,2,2,3
40,1,2,1,1,1,2,1,3
41,3,1,3,3,3,2,3,2
42,1,2,1,1,1,2,1,3
43,1,2,1,1,1,1,2,3
44,1,2,1,1,1,1,2,3
45,1,2,1,1,1,2,2,3
46,1,2,1,1,1,2,1,3
47,1,2,1,1,1,2,2,3
48,1,2,1,1,1,2,1,3
49,1,2,1,1,1,2,2,3
50,1,2,1,1,1,2,2,3
51,1,2,1,1,1,1,2,3
52,1,2,1,1,1,1,2,3
53,1,2,1,1,1,2,2,3
54,1,2,1,1,1,1,2,3
55,3,3,1,2,3,2,3,1
56,1,2,1,1,1,2,2,3
57,1,2,1,1,1,1,2,3
58,1,2,1,1,1,1,2,3
59,1,2,1,1,1,2,2,3
60,1,2,1,1,1,1,2,3
61,1,2,1,1,1,2,2,3
62,1,2,1,1,1,2,2,3
63,1,2,1,1,1,2,2,3
64,1,2,1,1,1,2,1,3
65,1,2,1,1,1,2,1,3
66,1,2,1,1,1,2,2,3
67,1,2,1,1,1,2,2,3
68,1,2,1,1,1,2,1,3
69,1,2,1,1,1,2,1,3
70,1,2,1,1,1,2,1,3
71,1,2,1,1,1,2,1,3
72,1,2,1,1,1,2,1,3
73,1,2,1,1,1,2,2,3
74,1,2,1,1,1,2,1,3
75,1,2,1,1,1,1,2,3
76,1,2,1,1,1,2,1,3
77,1,2,1,1,1,2,1,3
78,1,2,1,1,1,2,1,3
79,1,2,1,1,1,2,1,3
80,1,2,1,1,1,1,2,3
81,1,2,1,1,1,2,1,3
82,1,2,1,1,1,2,1,3
83,1,2,1,1,1,2,1,3
84,1,2,1,1,1,1,2,3
85,1,2,1,1,1,2,2,3
86,1,2,1,1,1,2,2,3
87,1,2,1,1,1,2,1,3
88,1,2,1,1,1,2,1,3
89,1,2,1,1,1,2,2,3
90,1,2,1,1,1,1,2,3
