id,treatment,tofrom,value,role,resp,round,rounds,old
1,1,6,20,0,1,1,2,0
1,1,9,20,0,0,1,2,0
1,1,10,20,0,1,1,2,0
1,1,11,20,0,1,1,2,0
1,1,13,20,0,1,1,2,0
1,1,14,20,0,1,1,2,0
1,1,16,20,0,1,1,2,0
1,1,17,20,0,1,1,2,0
1,1,18,20,0,1,2,2,0
1,1,19,20,0,1,2,2,0
1,1,23,20,0,1,2,2,0
1,1,26,20,0,1,2,2,0
1,1,27,20,0,1,2,2,0
1,1,28,20,0,1,2,2,0
1,1,31,20,0,1,2,2,0
1,1,32,20,0,1,2,2,0
2,1,9,20,0,1,1,2,0
2,1,10,20,0,1,1,2,0
2,1,11,20.1000003815,0,1,1,2,0
2,1,13,20,0,1,1,2,0
2,1,14,20,0,1,1,2,0
2,1,16,20,0,1,1,2,0
2,1,17,20.5,0,1,1,2,0
2,1,6,20,0,1,1,2,0
2,1,19,16,0,1,2,2,0
2,1,23,16,0,1,2,2,0
2,1,26,16,0,1,2,2,0
2,1,27,16,0,1,2,2,0
2,1,28,16,0,1,2,2,0
2,1,31,16,0,1,2,2,0
2,1,32,16,0,1,2,2,0
2,1,18,16,0,1,2,2,0
3,1,10,30.1000003815,0,1,1,2,0
3,1,11,26.8999996185,0,1,1,2,0
3,1,13,26.8999996185,0,1,1,2,0
3,1,14,26.8999996185,0,1,1,2,0
3,1,16,29.8999996185,0,1,1,2,0
3,1,17,29.8999996185,0,1,1,2,0
3,1,6,30.1000003815,0,1,1,2,0
3,1,9,30.1000003815,0,1,1,2,0
3,1,23,22.5,0,1,2,2,0
3,1,26,22.6000003815,0,1,2,2,0
3,1,27,22.1000003815,0,1,2,2,0
3,1,28,20,0,1,2,2,0
3,1,31,22,0,1,2,2,0
3,1,32,22,0,1,2,2,0
3,1,18,23,0,1,2,2,0
3,1,19,23,0,1,2,2,0
4,1,11,11,0,0,1,2,0
4,1,13,13,0,0,1,2,0
4,1,14,12.5,0,1,1,2,0
4,1,16,12,0,1,1,2,0
4,1,17,13,0,1,1,2,0
4,1,6,12.1999998093,0,1,1,2,0
4,1,9,11.1999998093,0,0,1,2,0
4,1,10,12.1999998093,0,0,1,2,0
4,1,26,16,0,1,2,2,0
4,1,27,15,0,1,2,2,0
4,1,28,16,0,1,2,2,0
4,1,31,15,0,1,2,2,0
4,1,32,15.5,0,1,2,2,0
4,1,18,15,0,1,2,2,0
4,1,19,16,0,1,2,2,0
4,1,23,15,0,1,2,2,0
5,1,13,11,0,0,1,2,0
5,1,14,11,0,1,1,2,0
5,1,16,11,0,1,1,2,0
