ID,proposer,responder,offer,accept,round,payoff,accepted,rounds,limit,showup
2459,23406224,1214314730,5,n,1,n,0,2,5,5
2460,23406224,1020124695,5,n,1,n,0,2,5,5
2461,23406224,781516220,5,y,1,y,1,2,5,5
2462,23406224,1136441003,5,n,1,n,0,2,5,5
2463,23406224,1562775130,5,n,1,n,0,2,5,5
2464,23406224,2111740117,5,n,1,n,0,2,5,5
2465,23406224,463581138,5,y,1,n,1,2,5,5
2466,1196978901,1214314730,15,y,1,y,1,2,5,5
2467,1196978901,1020124695,15,y,1,n,1,2,5,5
2468,1196978901,781516220,15,y,1,n,1,2,5,5
2469,1196978901,1136441003,20,y,1,n,1,2,5,5
2470,1196978901,1562775130,10,y,1,n,1,2,5,5
2471,1196978901,2111740117,15,n,1,n,0,2,5,5
2472,1196978901,463581138,25,y,1,n,1,2,5,5
2473,772613245,1214314730,20,y,1,n,1,2,5,5
2474,772613245,1020124695,20,y,1,n,1,2,5,5
2475,772613245,781516220,20,y,1,n,1,2,5,5
2476,772613245,1136441003,20,y,1,y,1,2,5,5
2477,772613245,1562775130,20,y,1,n,1,2,5,5
2478,772613245,2111740117,20,y,1,n,1,2,5,5
2479,772613245,463581138,20,y,1,n,1,2,5,5
2480,279457465,2050722603,9,n,1,n,0,2,5,5
2481,279457465,1543440175,10,n,1,n,0,2,5,5
2482,279457465,804846008,11,n,1,n,0,2,5,5
2483,279457465,893274540,12,n,1,n,0,2,5,5
2484,279457465,127001704,13,y,1,n,1,2,5,5
2485,279457465,471501740,14,y,1,y,1,2,5,5
2486,279457465,1203675179,15,y,1,n,1,2,5,5
2487,778338380,2050722603,30,y,1,n,1,2,5,5
2488,778338380,1543440175,30,y,1,n,1,2,5,5
2489,778338380,804846008,30,y,1,n,1,2,5,5
2490,778338380,893274540,30,y,1,n,1,2,5,5
2491,778338380,127001704,30,y,1,y,1,2,5,5
2492,778338380,471501740,30,y,1,n,1,2,5,5
2493,778338380,1203675179,30,y,1,n,1,2,5,5
2494,259173819,2050722603,26,y,1,y,1,2,5,5
2495,259173819,1543440175,40,y,1,n,1,2,5,5
2496,259173819,804846008,47,y,1,n,1,2,5,5
2497,259173819,893274540,35,y,1,n,1,2,5,5
2498,259173819,127001704,33,y,1,n,1,2,5,5
2499,259173819,471501740,35,y,1,n,1,2,5,5
2500,259173819,1203675179,40,y,1,n,1,2,5,5
2501,442317209,1214314730,27.5,y,1,n,1,2,5,5
2502,442317209,1020124695,27.5,y,1,n,1,2,5,5
2503,442317209,781516220,27.5,y,1,n,1,2,5,5
2504,442317209,1136441003,27.5,y,1,n,1,2,5,5
2505,442317209,1562775130,27.5,y,1,n,1,2,5,5
2506,442317209,2111740117,27.5,y,1,n,1,2,5,5
2507,442317209,463581138,27.5,y,1,y,1,2,5,5
2508,1917827311,1214314730,5,n,1,n,0,2,5,5
2509,1917827311,1020124695,5,n,1,y,0,2,5,5
2510,1917827311,781516220,5,y,1,n,1,2,5,5
2511,1917827311,1136441003,10,n,1,n,0,2,5,5
2512,1917827311,1562775130,10,y,1,n,1,2,5,5
2513,1917827311,2111740117,10,n,1,n,0,2,5,5
2514,1917827311,463581138,15,y,1,n,1,2,5,5
2515,1036081495,1214314730,20,y,1,n,1,2,5,5
2516,1036081495,1020124695,25,y,1,n,1,2,5,5
2517,1036081495,781516220,23,y,1,n,1,2,5,5
2518,1036081495,1136441003,24,y,1,n,1,2,5,5
2519,1036081495,1562775130,25,y,1,n,1,2,5,5
2520,1036081495,2111740117,18,n,1,y,0,2,5,5
2521,1036081495,463581138,26,y,1,n,1,2,5,5
2522,1083659273,2050722603,15,n,1,n,0,2,5,5
2523,1083659273,1543440175,19,y,1,y,1,2,5,5
2524,1083659273,804846008,16,y,1,n,1,2,5,5
2525,1083659273,893274540,21,n,1,n,0,2,5,5
2526,1083659273,127001704,17,y,1,n,1,2,5,5
2527,1083659273,471501740,23,y,1,n,1,2,5,5
2528,1083659273,1203675179,20,y,1,n,1,2,5,5
2529,2125131779,2050722603,5,n,1,n,0,2,5,5
2530,2125131779,1543440175,5,n,1,n,0,2,5,5
2531,2125131779,804846008,5,n,1,y,0,2,5,5
2532,2125131779,893274540,5,n,1,n,0,2,5,5
2533,2125131779,127001704,5,n,1,n,0,2,5,5
2534,2125131779,471501740,10,y,1,n,1,2,5,5
2535,2125131779,1203675179,10,y,1,n,1,2,5,5
2536,1400519749,2050722603,20,n,1,n,0,2,5,5
2537,1400519749,1543440175,20,y,1,n,1,2,5,5
2538,1400519749,804846008,25,y,1,n,1,2,5,5
2539,1400519749,893274540,15,n,1,n,0,2,5,5
2540,1400519749,127001704,20,y,1,n,1,2,5,5
2541,1400519749,471501740,10,y,1,n,1,2,5,5
2542,1400519749,1203675179,20,y,1,y,1,2,5,5
2543,1046070123,2050722603,26,n,1,n,0,2,5,5
2544,1046070123,1543440175,25,y,1,n,1,2,5,5
2545,1046070123,804846008,24,y,1,n,1,2,5,5
2546,1046070123,893274540,23,y,1,y,1,2,5,5
2547,1046070123,127001704,23,y,1,n,1,2,5,5
2548,1046070123,471501740,25,y,1,n,1,2,5,5
2549,1046070123,1203675179,23,y,1,n,1,2,5,5
2550,505202100,1214314730,20,y,1,n,1,2,5,5
2551,505202100,1020124695,25,y,1,n,1,2,5,5
2552,505202100,781516220,20,y,1,n,1,2,5,5
2553,505202100,1136441003,25,y,1,n,1,2,5,5
2554,505202100,1562775130,20,y,1,y,1,2,5,5
2555,505202100,2111740117,25,y,1,n,1,2,5,5
2556,505202100,463581138,20,y,1,n,1,2,5,5
2557,23406224,804846008,5,n,2,n,0,2,5,5
2558,23406224,2050722603,5,n,2,n,0,2,5,5
2559,23406224,1543440175,5,n,2,n,0,2,5,5
2560,23406224,471501740,5,y,2,n,1,2,5,5
2561,23406224,127001704,5,n,2,n,0,2,5,5
2562,23406224,1203675179,5,y,2,n,1,2,5,5
2563,23406224,893274540,5,n,2,n,0,2,5,5
2564,1046070123,1562775130,23,y,2,n,1,2,5,5
2565,1046070123,463581138,23,y,2,n,1,2,5,5
2566,1046070123,781516220,23,y,2,n,1,2,5,5
2567,1046070123,1214314730,23,y,2,n,1,2,5,5
2568,1046070123,2111740117,23,y,2,n,1,2,5,5
2569,1046070123,1136441003,23,y,2,n,1,2,5,5
2570,1046070123,1020124695,23,y,2,n,1,2,5,5
2571,1196978901,804846008,16,y,2,n,1,2,5,5
2572,1196978901,2050722603,28,y,2,n,1,2,5,5
2573,1196978901,1543440175,16,y,2,n,1,2,5,5
2574,1196978901,471501740,16,y,2,n,1,2,5,5
2575,1196978901,127001704,25,y,2,n,1,2,5,5
2576,1196978901,1203675179,21,y,2,n,1,2,5,5
2577,1196978901,893274540,19,y,2,n,1,2,5,5
2578,259173819,1562775130,11,n,2,n,0,2,5,5
2579,259173819,463581138,11,y,2,n,1,2,5,5
2580,259173819,781516220,11,y,2,n,1,2,5,5
2581,259173819,1214314730,11,n,2,n,0,2,5,5
2582,259173819,2111740117,11,y,2,n,1,2,5,5
2583,259173819,1136441003,15,y,2,n,1,2,5,5
2584,259173819,1020124695,11,n,2,n,0,2,5,5
2585,772613245,804846008,15,y,2,n,1,2,5,5
2586,772613245,2050722603,15,n,2,n,0,2,5,5
2587,772613245,1543440175,15,y,2,n,1,2,5,5
2588,772613245,471501740,5,y,2,n,1,2,5,5
2589,772613245,127001704,15,y,2,n,1,2,5,5
2590,772613245,1203675179,15,y,2,n,1,2,5,5
2591,772613245,893274540,15,n,2,n,0,2,5,5
2592,279457465,1562775130,9,n,2,n,0,2,5,5
2593,279457465,463581138,10,y,2,n,1,2,5,5
2594,279457465,781516220,11,y,2,n,1,2,5,5
2595,279457465,1214314730,12,n,2,n,0,2,5,5
2596,279457465,2111740117,9,y,2,n,1,2,5,5
2597,279457465,1136441003,10,n,2,n,0,2,5,5
2598,279457465,1020124695,11,n,2,n,0,2,5,5
2599,1400519749,1562775130,20,y,2,n,1,2,5,5
2600,1400519749,463581138,25,y,2,n,1,2,5,5
2601,1400519749,781516220,25,y,2,n,1,2,5,5
2602,1400519749,1214314730,25,y,2,n,1,2,5,5
2603,1400519749,2111740117,20,y,2,n,1,2,5,5
2604,1400519749,1136441003,15,y,2,n,1,2,5,5
2605,1400519749,1020124695,25,y,2,n,1,2,5,5
2606,1036081495,804846008,20,y,2,n,1,2,5,5
2607,1036081495,2050722603,22,n,2,n,0,2,5,5
2608,1036081495,1543440175,22,y,2,n,1,2,5,5
2609,1036081495,471501740,21,y,2,n,1,2,5,5
2610,1036081495,127001704,19,y,2,n,1,2,5,5
2611,1036081495,1203675179,20,y,2,n,1,2,5,5
2612,1036081495,893274540,20,n,2,n,0,2,5,5
2613,442317209,804846008,25,y,2,n,1,2,5,5
2614,442317209,2050722603,25,y,2,n,1,2,5,5
2615,442317209,1543440175,25,y,2,n,1,2,5,5
2616,442317209,471501740,25,y,2,n,1,2,5,5
2617,442317209,127001704,25,y,2,n,1,2,5,5
2618,442317209,1203675179,25,y,2,n,1,2,5,5
2619,442317209,893274540,25,y,2,n,1,2,5,5
2620,2125131779,1562775130,15,y,2,n,1,2,5,5
2621,2125131779,463581138,20,y,2,n,1,2,5,5
2622,2125131779,781516220,20,y,2,n,1,2,5,5
2623,2125131779,1214314730,10,n,2,n,0,2,5,5
2624,2125131779,2111740117,15,y,2,n,1,2,5,5
2625,2125131779,1136441003,15,y,2,n,1,2,5,5
2626,2125131779,1020124695,20,y,2,n,1,2,5,5
2627,1083659273,1562775130,17,y,2,n,1,2,5,5
2628,1083659273,463581138,18,y,2,n,1,2,5,5
2629,1083659273,781516220,19,y,2,n,1,2,5,5
2630,1083659273,1214314730,20,y,2,n,1,2,5,5
2631,1083659273,2111740117,18,y,2,n,1,2,5,5
2632,1083659273,1136441003,17,y,2,n,1,2,5,5
2633,1083659273,1020124695,16,y,2,n,1,2,5,5
2634,778338380,1562775130,27,y,2,n,1,2,5,5
2635,778338380,463581138,27,y,2,n,1,2,5,5
2636,778338380,781516220,27,y,2,n,1,2,5,5
2637,778338380,1214314730,27,y,2,n,1,2,5,5
2638,778338380,2111740117,27,y,2,n,1,2,5,5
2639,778338380,1136441003,27,y,2,n,1,2,5,5
2640,778338380,1020124695,27,y,2,n,1,2,5,5
2641,1917827311,804846008,12,n,2,n,0,2,5,5
2642,1917827311,2050722603,12,n,2,n,0,2,5,5
2643,1917827311,1543440175,12,y,2,n,1,2,5,5
2644,1917827311,471501740,13,y,2,n,1,2,5,5
2645,1917827311,127001704,14,n,2,n,0,2,5,5
2646,1917827311,1203675179,15,y,2,n,1,2,5,5
2647,1917827311,893274540,15,n,2,n,0,2,5,5
2648,505202100,804846008,20,y,2,n,1,2,5,5
2649,505202100,2050722603,20,n,2,n,0,2,5,5
2650,505202100,1543440175,20,y,2,n,1,2,5,5
2651,505202100,471501740,20,y,2,n,1,2,5,5
2652,505202100,127001704,20,y,2,n,1,2,5,5
2653,505202100,1203675179,20,y,2,n,1,2,5,5
2654,505202100,893274540,20,y,2,n,1,2,5,5
